F010029;F010030;F041699;F041799;F041803;F041899;F050799;F051699;F050899;F051799;F080099;F090024;F090036;F090099
42901;42909;813744;2007123;232086;232086;40;5;2029728;286032;58835454;813744;2315760;57949570
41002;43309;160035;351567;30000;157803;130;8;5837674;458811;21069593;160035;6296485;20764164
41002;41001;1074009;35287057;306316;306316;106;10;6061824;660696;80621652;1074009;6722520;79009221
41009;41001;182689;1456822;0;52104;13;0;699042;0;14144701;182689;699042;13439468
41009;42101;15190;174686;24000;24000;8;3;281586;79200;2004368;15190;360786;1567857
42201;42101;427857;5038866;3842217;3842217;87;6;6014738;388160;306011837;427857;6402898;273921403
42909;43909;356590;374458;263975;263975;23;4;2062633;220417;5807258;356590;2283050;5868736
43124;41001;6775;123012;0;1932;4;2;107700;37840;683400;6775;145540;498400
42909;42909;25330;1787950;0;0;11;3;444178;86400;2667291;25330;530578;2639535
42909;42909;101412;183910;28900;28900;5;3;318304;188530;2019198;101412;506834;1779814
42909;41002;10148;155496;0;0;35;7;1466136;412680;40900000;10148;1878816;39989740
43309;43309;4607;36526;21600;21600;6;1;121536;22200;338588;4607;143736;316061
43211;43299;98452;114869;0;0;34;1;1432067;71088;15951007;98452;1503155;15971445
43301;43301;12834;91506;0;14400;8;0;247557;0;376964;12834;247557;340444
43905;41002;9661;67397;44100;44100;7;1;278373;66000;1329752;9661;344373;1255187
43309;43909;271457;3985697;0;0;2;3;113753;170630;1981795;271457;284383;1895733
43211;43211;31062;65282;22800;44225;12;1;452345;30500;4995801;31062;482845;4633195
41009;41002;6351;57151;24000;24000;3;1;134114;18288;846678;6351;152402;792010
42909;42909;4543763;26400753;37900;41030;94;15;2789749;606000;6535322;4543763;3395749;12399130
41001;41002;259931;4200173;0;0;67;8;2499252;408864;16952692;259931;2908116;15169444
43305;43909;195910;3257316;0;30000;18;4;566315;178939;2519456;195910;745254;2336489
41002;42201;72029;718097;0;20543;41;5;1392577;154731;6105283;72029;1547308;5298745
41002;41001;112361;336550;36000;3784802;124;9;5201267;482857;46768941;112361;5684124;45881273
43219;43219;68500;4332032;0;0;10;5;469713;117428;5460205;68500;587141;4892828
43211;43211;0;6;0;0;2;0;0;0;150732;0;0;75366
42909;41001;1161178;8761809;0;235629;29;7;1251710;198290;13782944;1161178;1450000;13017666
42909;42109;96067;441545;24000;24000;8;1;124404;24336;1002154;96067;148740;932941
41009;41001;3408202;20917686;0;520430;218;64;8048112;4683072;97420429;3408202;12731184;85063392
42909;42909;78613000;1552579000;0;21399761;1124;264;94038954;20117556;755712347;78613000;114156510;767792919
42909;41001;119388;675662;2141658;2141658;19;8;1076529;682310;56776297;119388;1758839;53388502
42909;43909;1833443;17469891;1858200;1858200;5;3;200796;117720;29517729;1833443;318516;28517359
43301;43301;8231;600;13500;13500;2;1;91054;22632;206323;8231;113686;205796
43219;43219;476890;1813996;0;0;13;3;541676;103176;3963117;476890;644852;3425001
43302;43309;230598;479426;0;41613;6;1;666228;27760;2499238;230598;693988;3892730
41002;41001;31806;243033;0;3870;17;3;985380;282467;14496837;31806;1267847;17256957
43304;42909;240;360;0;0;4;0;113324;0;739301;240;113324;779290
41002;41002;41239;240179;60000;517390;16;12;779436;530954;31576175;41239;1310390;30814660
41002;41009;64247;283094;18324;18324;1;1;194570;185575;6386885;64247;380145;4726295
43304;43304;53802;851146;0;0;18;5;808392;220212;5055513;53802;1028604;4237290
41001;41001;400921;3392556;114346;114346;43;8;1448280;375840;30405822;400921;1824120;29493648
41009;43306;1093197;4079426;117760;117760;44;4;1806784;157112;12074048;1093197;1963896;11015913
41002;41002;1434434;128960;0;409112;1;1;198240;190248;111512000;1434434;388488;105523806
41002;41002;47832;191328;12960;12960;34;3;785786;101300;11428193;47832;887086;10122265
41001;41001;189883;5702782;0;54156;191;3;3782100;171912;14253796;189883;3954012;13968721
41009;41009;14404;74900;9600;9600;1;1;43200;16800;412500;14404;60000;410300
43219;43219;410;19890;3600;3600;3;1;45600;13200;150000;410;58800;122770
41001;41001;87915;89266;0;25074;12;3;514812;152400;6834264;87915;667212;6467411
41001;43302;681002;1813765;0;0;9;1;855897;35662;22704543;681002;891559;23291689
43309;43909;63005;2381092;0;3900;6;2;468000;178000;59382301;63005;646000;58850826
43303;43303;2600;19070;24000;24000;2;1;29616;11400;136721;2600;41016;140090
41001;41001;15810;89189;72000;95557;21;5;907392;377604;9801509;15810;1284996;9733684
41001;41001;29100;330963;0;8300;5;7;462598;162534;2675947;29100;625132;2140758
41001;41001;1144702;10648233;0;0;289;35;9154711;2100000;55285693;1144702;11254711;49937658
42909;41001;10261;92352;24000;84000;6;1;343759;29892;5446802;10261;373651;5369893
41002;41002;0;4552415;0;0;99;8;3600380;270880;11380550;0;3871260;11438789
41002;42209;95083;380333;0;0;33;4;1260840;183384;3859000;95083;1444224;3989450
43903;43903;360;1841;0;0;2;1;76125;60000;10473238;360;136125;10475298
42209;42209;43890;1215423;48000;48000;10;4;964941;425083;4349082;43890;1390024;4015781
43309;43309;0;5;60000;60000;4;2;245868;105372;7394526;0;351240;7024800
41001;41001;526788;2079426;95063;95063;32;3;1474402;110976;9499238;526788;1585378;8892730
42209;42209;2492;237319;163428;163428;10;3;557676;134785;11092308;2492;692461;9973566
43301;43301;7000;28000;0;0;7;0;246000;0;1823557;7000;246000;1814302
41009;41002;97072;3280116;0;0;11;5;656405;294026;8926334;97072;950431;7141067
43306;43306;97594;560075;0;0;23;2;793479;140026;5435120;97594;933505;4079339
42909;42909;407944;2523000;0;225077;5;1;270093;30010;31589782;407944;300103;30010300
42909;42909;235616;1519670;33600;33600;42;2;1146140;84000;15820390;235616;1230140;15315245
42909;43309;59468;56957;24000;42000;17;1;377233;60000;551305;59468;437233;1042377
41009;41009;162706;1850485;0;0;9;2;310500;51072;1501177;162706;361572;1413053
41003;41003;26970;186120;900;91180;94;3;2448998;180286;5958574;26970;2629284;10345473
42909;42909;675220;909890;0;192578;23;7;1240370;349848;51208668;675220;1590218;49672375
42909;43909;354469;1815907;488062;488062;35;4;1110278;205719;3684185;354469;1315997;3729014
42909;42206;313621;1275531;60000;60000;56;8;2625558;407937;10300532;313621;3033495;9991516
41002;41002;27096;198702;30000;30000;6;1;202260;33600;943443;27096;235860;922143
41002;41001;483960;5321453;0;0;11;4;390612;161184;12335910;483960;551796;12118364
42909;43909;880142;979864;0;128636;14;8;1505945;589027;20367259;880142;2094972;20458576
42909;41002;18001;162016;60000;60000;4;3;189394;101981;10500000;18001;291375;9712500
42909;42209;24120814;101575883;6741005;6741005;132;60;12358590;5862675;636930541;24120814;18221265;612619956
43122;43122;0;1;0;0;1;0;0;0;68387;0;0;21434
43211;42203;571;50000;0;0;2;0;0;0;54000;571;0;42000
41002;41002;478855;5120337;0;0;13;4;500892;165348;9130225;478855;666240;8641025
43304;43216;8852;522956;11474;30791;21;11;835475;449871;2733061;8852;1285346;2955924
41001;41001;731135;1866183;0;0;8;4;577730;135517;20002702;731135;713247;18633352
41001;41001;1132;24958;0;0;6;2;408393;117609;22337795;1132;526002;20273527
43229;43229;212253;848517;0;0;7;1;123912;27252;1562313;212253;151164;1477531
43211;43909;1450;23662;0;0;2;1;59802;21648;119245;1450;81450;116984
43293;42209;5146;21405;0;0;11;0;209184;0;1746247;5146;209184;1453990
