F010029;F010030;F041699;F041799;F041803;F041899;F050799;F051699;F050899;F051799;F080099;F090024;F090036;F090099
41002;41001;153241;840830;0;41090;71;8;2602444;334968;5546697;153241;2937412;7038321
42909;42909;653442;17345717;24000;24000;185;10;5349061;731473;79528684;653442;6080534;47542920
41002;41002;274573;2533621;0;0;55;19;3112944;1024539;225310954;274573;4137483;200335469
41002;41002;201365;1962780;0;0;16;2;451750;39520;5504749;201365;491270;4647105
43219;43219;584522;8936406;0;2400;44;6;1766708;309026;12395389;584522;2075734;11430567
41002;41002;6620636;48551331;72000;72000;180;40;5352993;1956000;36403912;6620636;7308993;28852353
43211;43211;69796;264094;0;306248;54;4;1686163;109840;8257420;69796;1796003;8378988
41002;43216;13090;2853;0;0;2;2;77487;63399;1247765;13090;140886;1280781
43307;43307;570710;9355306;0;0;18;24;804920;641951;20238028;570710;1446871;19365137
42101;42101;19640;270930;0;21290;36;4;895318;99479;5753152;19640;994797;5465495
41001;41001;294769;1944981;0;0;168;7;5688960;373560;13538677;294769;6062520;13486006
42203;41002;40865;307449;0;0;16;7;487489;113736;4926675;40865;601225;4625276
41002;41002;1664346;8937534;0;4162703;309;36;13070397;1506668;108443639;1664346;14577065;108011902
43306;43229;120394;2676620;0;12000;16;2;620698;109536;4365971;120394;730234;3419908
42909;42909;285963;13733743;0;12000;14;5;644697;236510;26288426;285963;881207;24919409
42201;42109;1120734;12765012;168000;168000;291;7;6690017;195552;91847309;1120734;6885569;88501214
41002;41002;111670;1005004;320400;721560;20;5;1176883;160484;27574569;111670;1337367;26885205
42909;43229;177998;14594866;0;0;11;9;492096;305232;23464270;177998;797328;18732268
42909;42909;337034;1953152;0;0;61;5;1810200;162900;14644006;337034;1973100;14587049
41001;41002;38780;193901;3694;3694;8;4;145463;79713;3581559;38780;225176;2345560
41001;41001;436663;12450767;0;575731;59;6;5958203;518104;116688085;436663;6476307;112788433
43301;43301;673466;9724192;0;30103;21;18;947207;567156;11446626;673466;1514363;12248120
41001;43219;82982;1369670;349516;355716;48;12;2591040;547567;14019826;82982;3138607;13946929
43212;41003;946005;13797338;53890;53890;69;13;4783201;591529;19811701;946005;5374730;19758180
41001;41001;132351;5085832;0;37748;27;5;890887;178177;7786777;132351;1069064;9617674
43211;43211;478790;6187117;4000;4000;8;2;209244;46632;1314306;478790;255876;1458295
42102;42109;520852;16180767;0;0;137;15;5301522;279027;41028801;520852;5580549;37203669
42909;42909;76854;435511;0;0;64;7;1600800;220200;3705110;76854;1821000;3752822
41001;41001;2114577;15506901;0;0;44;30;2755249;1380000;24637346;2114577;4135249;22451455
42206;43125;230742;1797432;16800;104222;67;1;1919242;48000;5572162;230742;1967242;5940023
41002;41002;253714;3874164;0;1172177;104;22;3321774;1091272;41023022;253714;4413046;36550586
43122;43122;1758;13045;60000;60000;8;4;287868;186000;1725410;1758;473868;1673123
41002;41001;97530;840319;0;144990;66;9;2232390;421958;19863000;97530;2654348;18528831
41002;41002;1319565;18083663;857580;857580;357;19;8032136;1032000;91655821;1319565;9064136;79987096
41002;41002;111346;1305120;7200;56515;143;4;2649121;167594;5599145;111346;2816715;5909258
41002;42909;2438348;19493400;0;639129;71;9;1465200;402600;42515684;2438348;1867800;40006129
41002;41001;222650;583665;0;63502;42;5;4256832;526125;21271684;222650;4782957;16379197
42906;43907;819;4456;0;12000;2;1;73788;18276;392429;819;92064;361532
43211;43211;129799;675220;0;0;24;6;781780;335049;17693448;129799;1116829;17932966
41002;41002;335172;849536;0;278681;59;4;1420861;174704;8821097;335172;1595565;8361308
41002;41002;436438;2815339;0;0;22;3;804060;78624;8329129;436438;882684;7812740
43901;43901;72868;969139;0;0;27;5;1911400;151200;5153999;72868;2062600;3588098
42909;42109;959606;7800996;0;520917;150;44;6163999;1341672;186021783;959606;7505671;142008460
41002;41001;362201;9844049;0;128733;35;8;1953553;503088;34049107;362201;2456641;32490328
43224;43224;100420;1295898;4000;140000;101;7;4365315;343091;15870997;100420;4708406;15556144
41002;41002;154984;6207138;0;0;25;14;1026792;703200;31319372;154984;1729992;32545306
43211;43211;634014;4337879;0;264905;39;5;1482985;234914;32720184;634014;1717899;29599969
42909;42909;317386;813319;56308;56308;18;4;465890;126925;11906778;317386;592815;11755052
41002;41001;813677;7615655;105500;120527;125;8;6216893;327205;21471004;813677;6544098;21605301
41009;41001;69779;1740475;0;15820;9;1;212401;22116;1872067;69779;234517;1904423
41002;42909;2171179;11013314;0;1720143;246;12;11279664;957600;119334947;2171179;12237264;115918079
42206;41001;25050;100380;13200;13200;5;1;119016;20376;1067709;25050;139392;805405
42102;42102;26230;110644;92050;92050;12;0;320206;0;2526015;26230;320206;2430061
43225;43225;0;1598293;11340;11690;9;4;268442;94318;8263687;0;362760;8098343
41001;41001;106338;147125;3600;3600;9;3;263112;111600;733450;106338;374712;1107008
43219;43219;271768;1540020;0;60000;76;33;2039688;890840;10246856;271768;2930528;10008044
